,sentence1,sentence2,scores
2636,Coastal territorial cities of Wilmington and Jacksonville have a small portion of the population resorting to non-compliance with government policies.,"Some probable training topics include:  principles of camouflage, concealment, stalking techniques, marksmanship, weapons, and targeting.",0.008988049
2637,"In the Piedmont Territory, Atlantica Arabian Twelvers (the Ithna’ashariyya) Islamic Movement (AATIMO) continues to conduct violent attacks.","FIGURE 1: People’s Republic of Pineland (PRP) Internal Security Corps (ISC) and United Provinces of Atlantica (UPA) Military (Red), United States (US) and Republic of Pineland (ROP) Forces (Blue/Black) (W+077)",0.21364988
2638,"Members of the GRA were accused of assassinating ROP President Paul Duncan Church, a Conservative Party member from Columbia, South Pineland Province (SPP).","THE MARKED LULL IN SIGNIFICANT ACTIVITY CONTINUED, WITH ONLY THE ROP PROVIDING ANY NOTEWORTHY ACTIVITY.",0.09487864
2639,"NOT ONLY WAS A US CITIZEN POSSIBLY A CASUALTY AT OUR OWN HANDS, WE LOST A HUGE ASSET INSIDE THE ISC, AGAIN AT OUR DOING.","Additionally, the increase in severity of these kinetic attacks in the NPP is not only a very significant security concern, but it shows that these VEOs have the capability and the willingness to defend rugged territory.",0.014274256
2640,Insurgents have expanded their attacks into larger Republic of Pineland (ROP) military installations to the north.,"In addition, the continual protests by the minorities in NPP have triggered a reaction of many extremists that they like life “just the way it is.”  “The changing makeup of NPP,” one member of the League of Pineland exclaimed, “also motivates this feeling.""",0.23364821
2641,CJ3,A.,0.011909853
2642,A.,"This group maintains a very active underground network with an unknown number of cells intertwined in legitimate businesses, non-governmental organizations (NGOs), and charities.",0.30312103
2643,The Terrorist Insurgent and Lawless Task Force (TILTF) and 1st Commando Battalion (CB) is currently conducting raids on suspected AATIMO safe houses and have detained several individuals directly linked to attacks on ROP military forces.,"THESE TWO ATTACKS CONTINUE TO FOLLOW THE WELL ESTABLISHED PATTERN OF A TWO TO FIVE HASTILY ERECTED FIRING POSITIONS, NEAR SIMULTANEOUS ATTACKS ON MULTIPLE TARGETS AND CREWS RAPIDLY DISASSEMBLING AND MOVING THE SYSTEM BEFORE COUNTER-FIRE CAN TARGET THEM.",0.26714808
2644,Reactions to the acquittal of the ROP security and OIEPHEG members point to a much more troubling atmosphere surrounding future demonstrations.,"ADDITIONALLY, ACCORDING TO A PRP TECHNOLOGY-SHARING AGREEMENT SIGNED ON W-100, IRANIAN ADVISORS ARE SCHEDULED TO OPEN A FULL-TIME OFFICE AT THE CULLOWHEE FOSSIL REACTOR COMPLEX IN WESTERN PRP, WITH CONSTRUCTION TO BEGIN WITHIN THE NEXT 90 DAYS.",0.0105722835
2645,TODAY: A SLIGHT CHANCE OF SHOWERS AND THUNDERSTORMS AFTER 3PM.,THE DRIVER OF THE TRUCK STATED THAT HE HAD RELIEVED THE DRIVER AT THE RAILROAD WAREHOUSES AND WAS TRANSPORTING 100LB BAGS OF CATTLE FEED TO JACKSONVILLE.,0.009312946
2646,The attack caused fire and structural damage to the outer communications room and the headquarters-building parking at Elk Point Park.,"Meeting at Beijing's Great Hall of the People, President Hu Jintao told UPA President Wayne Bradford-Roth that his China looks forward to working closely with the UPA as equal economic partners in Atlantica.",0.010187808
2647,"As of this report, the insurgents have not claimed any specific responsibility, but three potential insurgent and violent extremist organizations (VEOs) are believed to be organizing these lethal activities.","JUST KNOW THAT SOMETHING LIKE THIS, SO SEEMINGLY STRAIGHT-FORWARD TO A SOLDIER LIKE US, IS NOT SOMETHING SO EASILY AND QUICKLY ACCOMPLISHED IN THE POLITICAL REALM, AND IS LIKELY TO TAKE SOME TIME AT THE NATIONAL LEVEL HERE IN PINELAND.""",0.035429742
2648,A.,NFI,0.029196141
2649,Analyst Notes:  The recovered vehicle identification number (VIN) for the large vehicle-borne IED (LVBIED) was matched to a 1999 Dodge white panel van.,Appearance of a second terrorist group in the Piedmont is concerning since it can further destabilize the already fragile security situation.,0.009840049
2650,"08 SEP 11,  2354 HOURS.",COORDINATION GROUPS IN THE ROP CONTINUE TO PURSUE ALL METHODS AVAILABLE TO SUPPORT THE CAUSE OF THE GUERILLAS.,0.009989388
2651,"AP – Columbia, South Pineland Province (SPP).",The NPP assembly appointed Mr. Rowen-Shoehorne as interim Governor on W-050.,0.016209822
2652,"AGAIN I NEED THIS FOR EACH MEETING YOU HAVE WITH A GUERILLA LEADER, RESISTANCE LEADER, OR KEY PLAYER YOU MEET WITH SO WE CAN CONDUCT PARALLEL PLANNING DOWN HERE AS WE GO, AND IF FOR SOME REASON YOU OR WE HAVE TO TERMINATE YOUR MISSION EARLY, WE HAVE EVERYTHING YOU HAVE GATHERED UP TO THAT POINT.",(UNCLAS//REL ROP)  A raid on a suspected insurgent safe house turned deadly when members of an elite special unit of the FBP encountered numerous booby traps.,0.012910662
2653,PAPT announced the “ See Say App ” to empower riders to report criminal or suspicious activities to the RBI and SIS quickly and discretely.,"THE PRESIDENTS ASSISTANT CHIEF OF STAFF, MR. JOHN BYRD HELD A BRIEF PRESS CONFERENCE AFTER THE MEETINGS CONCLUDED.",0.00938061
2654,2.,NFI,0.014636031
2655,"8 X KIA, 7 X WIA, 12 X Captured (pro-ROP Resistance).","1st BN, 120th IN QRF responders also arrived onsite.",0.0090687135
2656,"(SIGACT CJTF-30-179-SUN-W+086), REPORTED BY CJTF-30, FORT JACKSON, SPP, 0534 HOURS.","DAVIDSON COUNTY SHERIFF'S DEPUTIES ARRESTED MICHAEL BECK, 45, AFTER HE TURNED HIMSELF IN TO THE SHERIFF'S OFFICE THURSDAY AFTERNOON.",0.04419795
2657,"REPRESENTATIVES FROM THE PRESIDENT'S OFFICE REFUSED TO BE INTERVIEWED, BUT DID STATE THAT THERE WERE NO GOVERNMENT OR ISC PERSONNEL ON THE TRAIN MAKING THIS ANOTHER EXAMPLE OF THE TERRORIST'S WILLINGNESS TO STRIKE AT CIVILIAN TARGETS.",I AM GRAVELY CONCERNED WITH TODAY'S ACTIVITIES AND NEAR MISSION ABORT.,0.010897594
2658,"In its statement, the two parties also condemned the UPHEG for its violence against the protestors.","MANY SIGNS HUNG FROM DWELLINGS EXPRESSING THAT THIS IS THE FIRST STEP TO A DICTATORSHIP AND ""OUR FIREARMS ARE A GOD GIVEN RIGHT.""",0.009968763
2659,"The Nantahala region has its own language and culture and traditions, which differ considerably from those of NPP.","WASHINGTON HAS BEEN UNABLE TO REIGN IN IRAN'S NUCLEAR ASPIRATIONS DESPITE THE ADMINISTRATION'S 2008 CAMPAIGN RHETORIC, AND THIS IS FURTHER EVIDENCE THAT IRAN CAN DO AS IT PLEASES AMID CONSTANT THREATS FROM WASHINGTON.",0.02665256
2660,UNCLAS//REL ROP:  The overall level of violence in this Territory has declined significantly since the “compromise” talks brought warring CUIA and AWENASA factions and their proxies to the negotiating table.,"NPP Bureau of Investigation (BOI) Headquarters, Fayetteville, NPP.",0.01337318
2661,A group of ROP college students from the Charleston Community College (CCC) protested yesterday’s arrest of eight ROP soldiers refusing to serve in this deployment.,"(CNN) -- (W+082) Protesters demanded the end to the American presence in the ROP and especially of troops in the Fort Jackson, SPP compound, nicknamed “Camp Unity” by the Americans.",0.3157348
2662,"Due to the similarity of these reports other reported cases, these could be either copycat incidents or individuals attempting to make insurance claims on lost property.","After the news conference, President Paton stated that the meeting between him, his 3 rd ISC Commander, and the UPA Ambassador was cordial but candid.",0.0089834845
2663,"(C) 09 0033R HOURS, CHECK POINT NPWC PI40, 2 NM EAST OF PRP/ROA BORDER; RECEIVED 11 X 82MM ROUNDS CAUSING SOME LIGHT TO MODERATE STRUCTURAL DAMAGE TO THE BORDER CHECK POINT STATION BUILDING, BUT NO CASUALTIES.","""The TILTF takes all threats seriously and at this time, there is no specific or credible threat to Raleigh or Durham, NPP.”",0.05205941
2664,"A CHANCE OF SHOWERS WITH ISOLATED THUNDERSTORMS IN THE EVENING, THEN A CHANCE OF RAIN OR DRIZZLE AFTER MIDNIGHT.","28 JUL 11, 1630 HOURS.",0.010142632
2665,A.,The Pine Bloods in Durham are linked to another possible TCO that is operating in the NW region of NPP.,0.013171318
2666,"In some instances, certain guerilla units have displayed a greater tendency for sustained, high-intensity engagements.",ISC UNITS WERE OBSERVED CONDUCTING ROUTINE PATROL ACTIVITIES THROUGHOUT THE JSOA.,0.1755548
2667,"ON MARCH 17TH, DEPUTIES SEARCHED A MOBILE HOME AND FOUND 250 MATURE MARIJUANA PLANTS WORTH ABOUT 140,000D.","HE STATED THAT THE FUTURE OF THE NORTHERN PROVINCE IS DIRECTLY TIED TO THE FUTURE OF THE NATION, AND THE COUNCIL IS WORKING TO REUNITE THE TWO AS SOON AS FEASIBLY POSSIBLE.",0.008939121
2668,Additional patrols and better cooperation seem to be paying off high dividends.,The US State Department rated the PRP as a high threat level for all US personnel.,0.019647557
2669,"The MARM has conducted several successful demonstrations, most of which were organized via social media communications and included three instances of “flash mobs.” A number of these occurred in the Raleigh-Durham area and are composed of a broad base of support across demographics of age, ethnicity, and economic background.",NORTHWEST WINDS 5 TO 10 MPH.,0.061023213
2670,NFI,30 JUL 1230 HOURS.,0.01439741
2671,(U) Appearance of a second terrorist group in the Piedmont is concerning since it can further destabilize the already fragile security situation.,"THE RESULT IS A CHANCE OF RAIN BEFORE 1PM TODAY, THEN A CHANCE OF DRIZZLE BETWEEN 1PM AND 4PM, THEN A SLIGHT CHANCE OF RAIN AFTER 4PM.",0.051372584
2672,"Reporting from Fayetteville, NPP.","THE UN ISSUED CONDOLENCES TO THE FAMILIES AND REITERATED THAT IT WOULD CONTINUE TO WORK IN THE PRP, REGARDLESS OF THE DANGER SINCE THEY BELIEVE MANY INNOCENT CITIZENS ARE AT RISK AND INACTION WOULD LEAD TO MANY MORE DEATHS, ESPECIALLY OF THE MOST VULNERABLE.",0.02083018
2673,"HE SAID THE TOTAL VALUE OF THE DRUGS CONFISCATED WAS WORTH ABOUT 500,000D.",B.,0.05004434
2674,"AT THIS TIME, IT IS UNCONFIRMED, BUT ALL ELEMENTS IN THE JSOA SHOULD BE AWARE OF THE POSSIBLE ADDITIONAL THREAT AND TAKE ALL MEASURES NECESSARY TO MINIMIZE THE USE OF LANDLINE, AND/OR CELLULAR COMMUNICATIONS.",A.,0.037278846
2675,"The crowd was even larger than at a demonstration on the eve of the Compromise Conference, which disintegrated into violent clashes and ushered in the crackdown.","THE 3 CAPTURED PERSONNEL WERE ROP LOYALIST RESISTANCE FIGHTERS, CARRYING RUCKSACKS, M16A2 RIFLES, 9MM PISTOLS, 20LBS OF C-4 EXPLOSIVES, AND 2 BOXES OF NON-ELECTRIC BLASTING CAPS.",0.04826717
2676,GRA insurgents appear to favor targeting the local law enforcement and conducted a high-level abduction of a ROP legislator in the South Pineland Province (SPP).,MANY BELIEVE HE FLED THE AREA FOLLOWING THREATS FROM THE LPP PARTY REPRESENTATIVES IN RESPONSE TO REPORTS THAT MANY GUERILLA BANDS ARE SEEKING SAFE HAVEN EAST OF ALBEMARLE AND THE CITY IS PROVIDING THE MUCH NEEDED SUPPORT THAT IS SUSTAINING THE CRIMINALS.,0.081175365
2677,The SIS and NPP authorities are handling this event near New River Inlet as a refugee situation since all people who arrived in the multiple boats are requesting asylum in the ROP.,NFI,0.1900194
2678,UNCLAS//REL ROP.,l. (U) OVERALL ESTIMATE: ROP continues to experience a grass-roots movement that does not seem to abate and is growing stronger each day.,0.39751068
2679,"Mr. Seabird-Andrews was incarcerated in the late 1990s for ties to the GRA, but escaped prison in 2000, and is believed to be working in the black market in the northeast region of the Republic of Columbus (ROC).",THE PRP DIVISION OF PUBLIC HEALTH URGES PRECAUTIONS TO PREVENT NORAVIRUS.,0.009355714
2680,C. THE UPA COMBINED JOINT TASK FORCE ONE FIFTY-ONE COMMANDER SHOWED FRUSTRATION WITH THE CONTINUING RESISTANCE MOVEMENT.,NPP North Pineland Province ll.,0.0117347585
2681,"AP – Wilmington, NPP.","SIXTY-FOUR PARATROOPERS AND CREW FROM HQ, 1/213TH ARMOR, 172ND AIRBORNE ARMOR BRIGADE (AARB) WERE KILLED.",0.009442773
2682,Friday's protest was a one-day affair and not directly related to the negotiations.,"26 APR 12, 2354 HOURS.",0.022003619
2683,"The goal of the Border Interdiction Unit is to disrupt opportunities for border-related crime by dismantling and disrupting drug- and human-smuggling organizations; establishing positive communications and strong partnerships with residents living on the border and/or in remote rural areas; collaborate with Federal, State, and local agencies to identify offenders and interdiction efforts; and to share information and intelligence to further criminal investigations.",THIS IS ATTRIBUTED TO LTC D. HALE-CORUTHERS FOCUSED ON ENSURING THE SAFETY OF US PERSONNEL DURING U.S.,0.28458974
2684,"(SIGACT ROP-311-FA-W-026), Reported by Fayetteville Police Department, 2325 hours, Police Station, 467 Hay Street, attacked with an IID, and automatic weapons launched from an unknown vehicle, 2 x KIA, 2 x WIA.","UPI - Walnut Hill, Mountain Territory, NPP.",0.0096699055
2685,"On the Internet, every day, there are threats of people, particularly around big sporting events and religious holidays, and around commemorations.""",MARM leaders urged the demonstrators to act within the law.,0.049428932
2686,The move comes in response to multiple deadly attacks suffered by the FBP in recent weeks.,"Mr. Gamarche said no passengers were onboard, and the was just carrying military supplies bound for Camp MacKall.",0.009120258
2687,"IN STANFIELD, THE INCUMBENT, CHIEF JIMMY SCHNEIDER, WENT MISSING ON/ABOUT W+061 AND HAS NOT BEEN HEARD FROM SINCE THAT TIME.","They make the most of detailed intelligence, civilian information assets, internal and external evasion networks, and mission support sites (MSS).",0.009266578
2688,"The vehicle also had some other modifications, including heavy shock absorbers, removable panels in the side doors with compartments, and the seat cushions had additional partitions.",A. SYNOPSIS.,0.010102363
2689,1) GENERAL.,Undergrounds and auxiliaries support both these violent organizations.,0.022178814
2690,"SIS director, Mr. Zerley-Burnes, has approved the operational plans for the Border Interdiction Unit to work known smuggling routes along the Cherokee, Graham, Swain, Haywood, Madison, Yancey, Avery, and Ashe Counties, as well as in areas most recently impacted by burglaries, theft, and other criminal activities.",Major demonstrations severely disrupt the city.,0.012503063
2691,NFI,(U) MOUNTAIN: The overall level of violence in this territory has declined significantly since the “compromise” talks brought conflicting factions and their proxies to the negotiating table.,0.040130768
2692,"(U) GENERAL ASSESSMENT: The NPP held regional elections with several separatist leaning candidates, many of which were MARM and Red Bloc activists who had pushed for independence, winning key seats.","Halayre- Scott said, “ People had been working without a contract for a long time and were in no mood for inflammatory rhetoric.''",0.021364305
2693,"THE 0001 ATTACK OCCURED AT A LOGISTICS YARD IN A FIELD JUST SOUTH OF THE INTERCHANGE OF INTERNATIONAL SUPERHIGHWAY 485 AND PRP HWY 74 (N35°5.89' W80°41.833'), AND THE 0014 ATTACK TOOK PLACE ON A LOGISTICS YARD SET UP IN A MALL PARKING AREA JUST SOUTHWEST OF THE INTERCHANGE OF INTERNATIONAL SUPER HIGHWAY 485 AND PRP HWY 51 (N35°4.90' W80°52.573').","THE RAIL YARD AT THE MILITARY OCEAN TERMINAL, SUNNY POINT, WAS ATTACKED BY SATCHEL CHARGES AND HEAVY MORTAR FIRE.",0.4852801
2694,"On (W-079) and (W-078) in Dillon and Marlboro Counties, individuals impersonating the local sheriff ’s department at several secondary conducted a number of early morning robberies at unlawful roadblocks.","OFFICIALS ALSO INDICATED THERE WAS SUFFICIENT EVIDENCE TO CONCLUDE THE INDIVIDUAL WAS ATTEMPTING TO DAMAGE THE TRACK IN AN EFFORT TO DERAIL THE TRAIN, THEREFORE THE INCIDENT WAS BEING INVESTIGATED BY THE ISC AS AN ACT OF DOMESTIC TERRORISM.",0.11617721
2695,"0917 HOURS, AN EYE WITNESS REPORTED TO ROP AUTHORITIES THAT A CAUCASOID WOMAN, IN HER EARLY THIRTIES, AND A YOUNG BOY, NEATLY DRESSED, SEEN ON SOUTH SUMTER STREET ON THE DEAD END SIDE JUST MINUTES BEFORE THE FIVE SEPARATE EXPLOSIONS DETONATED ALONG THE RAILROAD SWITCHING AREA CAUSING THE TRAIN’S CARS TO DERAIL.","At this point, the VEO is gathering a composition of enemy forces, movements, and other information it can use to further basic training.",0.009129394
2696,"On (W-080) in Graham County, individuals impersonating the local sheriff’s department at several secondary roads conducted a number of early morning robberies during illegal roadblocks.",CASUALTIES WERE LISTED AS TWO BORDER POLICE OFFICERS AND 1 CIVILIAN KILLED AND SIX BORDER POLICE OFFICER AND THREE CIVILIANS WOUNDED.,0.025506949
2697,"Negative effects cannot be understated, and the population at large is reacting with more violence during the demonstrations.",CALM WIND BECOMING SOUTH BETWEEN 5 AND 8 MPH.,0.008851503
2698,"THE PARATROOPERS CONDUCTED COUNTER BATTERY FIRE DEPSITE THE FIRING POSITIONS BEING LOCATED ADJACENT TO WELL DEVELOPED URBAN AREAS, QUICKLY SILENCING THE INSURGENT MORTARS.",D. (U) CIVIL CONSIDERATIONS AND IMPACTS: The population in the NPP is growing considerably more restive.,0.009152901
2699,THESE SOURCES ALSO INDICATED THAT UNITED PROVINCES OF ATLANTICA (UPA) ADVISORS ARE TRAINING SPECIALIZED PRP UNITS TO INFILTRATE THE ROP IN ORDER TO CONDUCT LIMITED SABOTAGE AND SUBVERSION AGAINST THE ROP MILITARY TARGETS.,"A major landowner representative, Kart Bicter, says the property owners are working with the ROP government to try to get employees back to their jobs.",0.13068664
2700,Kinetic activity from the Atlantica Arabian Twelvers (the Ithna’ashariyya) Islamic Movement (AATIMO) insurgent attacks in the Piedmont has risen dramatically during this period.,"The brothers are pushing back against the criminal regime in Columbia, and soon all of the NPP will be liberated!”",0.009320718
2701,"As of this report, all the accused have been acquitted and no further indictments are expected.",COMMANDER.,0.019771833
2702,"THIS IS BELIEVED TO BE DUE TO THE ANTICIPATION, THEN ACTUAL ARRIVAL OF U.S.","(SIGACT CJTF-30-175-ELI-W+081) REPORTED BY CJTF-30, FORT JACKSON, SPP, 1734 HOURS.",0.059807286
2703,The current President is facing difficult economic challenges and is trying to balance the risks posed by a slowing economy against a growing relationship with emerging markets.,"The two arrived on the train, walked out of view and then returned with the backpack and dumped it into a trash bin.",0.008626184
2704,"The SIS, who is known to include plain-clothed officers at all these events, “is probably watching closely” said a counter-protester who also seemed very dismayed that the MARM was insulting a sacred sacrament.","The crime was never solved, and speculation and conspiracy theories persist to the present day.",0.009428858
2705,(Added W-045) PIR 15.,"The number of active fighters appears to have slightly increased, and their tactical proficiency is slowly improving, as seen in the raid on the Armory in Elizabethtown, PRP.",0.015448003
2706,"Another violent group, the “Gods Right Arm” (GRA) has emerged and was implicated in the abduction of two United States Agency for International Development (USAID) workers and members of the US Embassy team in Columbia, but is now actively targeting some AATIMO cells and attempted to disable their website.","G. (U) ADVERSARY TTPs (non-kinetic): The voice of the NPP ran an article questioning the ceasefire in the Western Province, noting that “given its fascist tendencies, the ROP government has a history of ignoring the legitimate grievances of the people of the NPP.” Liberation Hacker, with the hashtag #RevolutionAtRisk, posted a link to the article, and tweeted “Sellouts Awenasa threaten gains of opposition movement.” From the other side of the spectrum, Charlemagne posted a link to the article and tweeted “How can the government in Columbia negotiate with terrorists?”, and included the hashtag #NoTerroristNegotiations.",0.29722816
2707,"ALTHOUGH REPORTING ACROSS THE JSOA INDICATES IT IS QUIET, THE ISC CONTINUE TO ACTIVELY SEEK OUT THE RESISTANCE.",The connections or interests of the Wesui Umoja (WU) and the GRA to this region are unknown.,0.012268976
2708,The attacks were conducted in a similar manner to previous attacks.,NFI,0.03495798
2709,EAST WINDS AROUND 5 MPH IN THE EVENING...BECOMING LIGHT AND VARIABLE.,"THE MARKED LULL IN SIGNIFICANT ACTIVITY CONTINUED, WITH ONLY THE ROP PROVIDING ANY MENTIONAABLE ACTIVITY.",0.009281026
2710,PRESIDENT HALE-CANTETH HELD WHAT IS REPORTED TO BE THE FIRST OF MANY CLOSED DOOR ADVISORY COUNCIL MEETINGS TO FORMALIZE POST OCCUPATION PLANS FOR THE NORTHERN PROVINCE.,No video posting of claims of victory have been posted to AWENASA’s or CUIA’s last known websites.,0.009313184
2711,"AP – Raleigh, NPP.","		(10)  0938 HRS, WILMINGTON (COASTAL PROVINCE), PEOPLE'S REPUBLIC OF PINELAND (FORMERLY NORTH PINELAND).",0.014359669
2712,AN ESTIMATE TWO HUNDRED MORTAR ROUNDS FELL ON THE TWO MARINE HEADQUARTERS CAUSING CONSIDERABLE STRUCTURAL DAMAGE AND WOUNDING THREE MARINES.,"In his W-055 speech, Hale-Canteth made some unusually conciliatory comments about the unprecedented challenge to his rule.",0.009315511
2713,"NPP’s industrial output for agriculture, manufacturing, and technology is declining.","The goal of the Border Interdiction Unit is to disrupt opportunities for border-related crime by dismantling and disrupting drug- and human-smuggling organizations; establishing positive communications and strong partnerships with residents living on the border and/or in remote rural areas; collaborate with Federal, State, and local agencies to identify offenders and interdiction efforts; and to share information and intelligence to further criminal investigations.",0.042998683
2714,"FURTHER STUDY INTO THE EMERGING SOCIAL DYNAMICS IN FAYETTEVILLE, COUPLED WITH CONTINUED OBSERVATIONS OF POLITICAL DEVELOPMENTS, SUCH AS THE RECENT GOODWILL CONFERENCE HOSTED BY THE FAYETTEVILLE MAYOR, WILL BE NECESSARY TO SHED FURTHER LIGHT ON THE NATURE OF THE GUERILLA THREAT IN FAYETTEVILLE AND ITS LONG-TERM PROSPECTS.","G. (U) ADVERSARY TTPs (non-kinetic): The voice of the NPP ran an article questioning the ceasefire in the Western Province, noting that “given its fascist tendencies, the ROP government has a history of ignoring the legitimate grievances of the people of the NPP.” Liberation Hacker, with the hashtag #RevolutionAtRisk, posted a link to the article, and tweeted “Sellouts Awenasa threaten gains of opposition movement.” From the other side of the spectrum, Charlemagne posted a link to the article and tweeted “How can the government in Columbia negotiate with terrorists?”, and included the hashtag #NoTerroristNegotiations.",0.26790515
2715,"Noticeably, some social media actors are employing a more radical discourse, calling not for policy changes but rather for the outright independence for the NPP.",NFI,0.073714726
2716,"Mrs. Hill-Montgomery was beheaded, and the video ended.","A FIRE SPREAD THROUGHOUT THE OPERATIONS CENTER BUNKER, DESTROYING THE ELECTRICAL WIRING AND NUMEROUS COMMAND AND CONTROL COMPUTERS AND DIGITAL MAPPING SYSTEMS.",0.009094035
2717,"SIMILAR DEVICES ARE PREVALENT IN COLOMBIA, SOUTH AMERICA AND EMPLOYED BY FUERZAS ARMADAS REVOLUCIONARIAS DE COLOMBIA (FARC) INSURGENTS.",They appeared to be polite and were neatly dressed.,0.009609429
2718,Polls taken indicate that there are a large percentage of individuals in the NPP who are still undecided.,HE ACCUSED THE CURRENT ISC COMMANDER OF NEFARIOUS TIES WITH SELECT MILITARY OFFICIALS IN THE UPA AND MEMBERS OF THE ADU.,0.009200942
2719,"AGAIN I NEED THIS FOR EACH MEETING YOU HAVE WITH A GUERILLA LEADER, RESISTANCE LEADER, OR KEY PLAYER YOU MEET WITH SO WE CAN CONDUCT PARALLEL PLANNING DOWN HERE AS WE GO, AND IF FOR SOME REASON YOU OR WE HAVE TO TERMINATE YOUR MISSION EARLY, WE HAVE EVERYTHING YOU HAVE GATHERED UP TO THAT POINT.",HE ATTRIBUTED THE QUIET TO THE GOVERNMENT PROGRAMS TO PROVIDE SECURITY FOR THE POPULATION.,0.031535637
2720,"OFFICIALS SAY THERE WERE 118 PASSENGERS ON THE TRAIN, WITH NO OTHER INJURIES BEING REPORTED.",THESE INDIVIDUALS ARE FROM THE OLD DOMINION PROVINCE AND RALLY ACTIVELY FOR THE REUNIFICATION OF THE TAR HEEL PROVINCE BACK TO THE UPA.,0.009781142
2721,PC Personal Computer xx.,"THIS MAY DEMONSTRATE THE RESISTANCE FORCE IS NOW APPLYING A ""TROOP TO TASK"" METHODOLOGY PAIRING SKILL SETS TO MISSION TASKS.",0.022580465
2722,"A second civilian security patrol (B-21A), assigned to conduct the search for the attackers, found footprints that led for 900 meters northwest of the water point towards Drowning Creek.","Centuries-old historical claims to this rocky and mountainous terrain most of the locals in these regions to reject the ROP and embrace the de-facto organizations that provide good, services, and sometimes justice.",0.008802834
2723,Atlantica Arabian Twelvers (the Ithna’ashariyya) Islamic Movement (AATIMO) posts claimed the attack on Camp Prestor on W-060.,		(5)  GOVERNOR COOK CONTINUES TO IMPROVE CONDITIONS IN THE PIEDMONT AREA.,0.0092888335
2724,"As of this report, this group has not been associated with any violent attack, but their involvement with AWENASA or CUIA cannot be discounted.","“Work permits,” required between the hours of 1800 and 0600, are also managed and issued at the discretion of the officials at the county level.",0.009778103
2725,large group of uncommitted citizens remains.,ROP Republic of Pineland xx.,0.045958105
2726,Lawlessness has seen a decline in the last month.,MONDAY NIGHT: A SLIGHT CHANCE OF SHOWERS AND THUNDERSTORMS BEFORE 11PM.,0.008971292
2727,Core support is estimated between three hundred to four hundred from inner cities within both the NPP and SPP.,"THIS IS BELIEVED TO BE DUE TO THE ANTICIPATION, THEN ACTUAL ARRIVAL OF U.S.",0.020278681
2728,Police forces on heightened alert status.,"These individuals, in particular, are from the Old Dominion Province and rally actively for the re-unification of the Heel Province (NPP) back to the UPA.",0.009684365
2729,President Canteth appointed Mr. Rowen-Shoehorne as interim Governor on W-049.,"THERE WAS A SUBSTANTIAL PRESENCE OF FEDERAL BORDER POLICE ALONG THE ROC/ROP AND ROA/ROP BORDERS, BUT THE MAIN MOUNTAIN REGION WAS FOR THE MOST PART DEVOID OF MLITARY PRESENCE.",0.00936173
2730,Reactions to the acquittal of the ROP security and OIEPHEG members point to a much more troubling atmosphere surrounding future demonstrations.,"Hale-Canteth spoke of the need ""to strive for mutual understanding and to find compromise.” Although in his address on W-055, a national holiday, he also warned of the dangers posed by attempts to split society.",0.037391935
2731,"THE 120TH GUERILLAS ARE OPERATING WITH SMALL INDEPENDENT MANEUVERING CELLS OF 3 TO 4 MEN TO A CELL, AND A THREE-MAN DIRECT FIRE MORTAR CELL (GUNNER, ASSISTANT GUNNER, AND AMMO BEARER).","YOU CAN EXPECT TO SEE THE ONSET OF THE MORE AMBITIOUS GUERILLA LEADERS MAKING CLAIMS OF RIGHTS TO SEATS WITHIN THE ANTICIPATED POST OUSTER GOVERNMENT, ETC.",0.23024166
2732,"President Hale-Canteth appointed the new Governor during an extremely tumultuous period, and the hope is that citizens feel assured that the situation will soon stabilize.",A. SYNOPSIS (24 HRS).,0.00954247
2733,"1) THE ""RELATIVE CALM"" REPORTED ACROSS THE PRP AS BEING THE RESULT OF THE GOVERNMENT WORKING FOR THE PEOPLE IS MORE LIKELY THE RESULT OF THE POPULATION RESOURCE CONTROL MEASURES AND CONSTANT ACTIVITY OF THE ISC.","The hurricane center uses a dozen different computer models to forecast the path of a storm, combining them to create the forecast map before it makes the information public.",0.01042693
2734,"THIS MORNING, THE LPP AND UPA GOVERNMENT SENT A LEGAL DELEGATION TO THE INTERNATIONAL COURT OF JUSTICE AT THE HAGUE.","		d. (U) Provisions on investment protection that guarantee a range of rights to Venezuela and Chinese direct investors in UPA, including the right to transfer their funds out of UPA at any time, and the right to seek impartial resolution of any disputes.",0.27628654
2735,"Governor Paton, known as “The great negotiator,” succeeded with the “Peace Accords” in the Mountain Territory, but the situation in the Piedmont is more complex.","THIS MAY DEMONSTRATE THE RESISTANCE FORCE IS NOW APPLYING A ""TROOP TO TASK"" METHODOLOGY PAIRING SKILL SETS TO MISSION TASKS.",0.01365997
2736,Human intelligence (HUMINT) sources reporting from Operation Copperhead indicated that PRP security forces observed flags displaying a “bear paw” being flown over positions from where the 1 st MEF unit took fire near Elizabethtown.,GUERILLA RAIDERS ATTACKED THE RAIL YARD AT SUNNY POINT ARMY TERMINAL.,0.010773534
2737,Gasoline prices are rising slowly and are 20% higher than in (W-140).,D. (U) CIVIL CONSIDERATIONS AND IMPACTS: The population in the NPP is growing considerably more restive.,0.008875116
2738,"ROP President Hale Canteth’s administration does not recognize these groups as legitimate armed groups, but instead, the administration considers these groups to be lawless criminals.","If this event is confirmed as sabotage rather than an accident, it could have significant additional issues for the local authorities.",0.028324915
